,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq,monthcount
150,AX,AX,2013-02-01,18.4,0.259711402105,18.5,,402.0,2.17732762823,114.0,18463.0
151,AX,AX,2013-02-01,22.8,0.363248325734,15.5,,545.0,2.95184964524,114.0,18463.0
152,AX,AX,2013-03-01,18.4,0.364619720806,35.5,0.0,0.0,0.0,108.0,5080.0
153,AX,AX,2013-03-01,20.0,0.0,34.5,0.0,0.0,0.0,108.0,5080.0
154,AX,AX,2013-03-01,22.8,0.0,34.5,,0.0,0.0,108.0,5080.0
155,AX,AX,2013-03-01,18.4,0.363325015727,33.5,,27.0,0.531496062992,108.0,5080.0
156,AX,AX,2013-03-01,21.2,0.0,33.5,0.0,0.0,0.0,108.0,5080.0
157,AX,AX,2013-03-01,18.8,0.0,29.5,0.0,0.0,0.0,108.0,5080.0
158,AX,AX,2013-03-01,18.4,0.304424747591,28.5,0.0,0.0,0.0,108.0,5080.0
159,AX,AX,2013-03-01,18.4,0.288764299183,19.5,,70.0,1.37795275591,108.0,5080.0
160,AX,AX,2013-03-01,20.8,0.0,18.5,0.0,0.0,0.0,108.0,5080.0
161,AX,AX,2013-03-01,20.0,0.0,15.5,0.0,0.0,0.0,108.0,5080.0
162,AX,AX,2013-03-01,22.8,0.445433104587,15.5,,109.0,2.14566929134,108.0,5080.0
163,J63A,CI,2011-11-01,18.8,0.0,39.5,0.0,0.0,0.0,4.0,1869.0
164,J63A,CI,2011-11-01,18.0,0.0,37.5,0.0,0.0,0.0,4.0,1869.0
165,J63A,CI,2011-11-01,18.4,0.422097403482,33.5,0.0,0.0,0.0,4.0,1869.0
166,J63A,CI,2011-11-01,19.2,0.0,33.5,0.0,0.0,0.0,4.0,1869.0
167,J63A,CI,2011-11-01,21.2,0.0,33.5,0.0,0.0,0.0,4.0,1869.0
168,J63A,CI,2011-11-01,20.0,0.0,32.5,,0.0,0.0,4.0,1869.0
169,J63A,CI,2011-11-01,21.6,0.0,31.5,0.0,0.0,0.0,4.0,1869.0
170,J63A,CI,2011-11-01,18.8,0.0,30.5,0.0,0.0,0.0,4.0,1869.0
171,J63A,CI,2011-11-01,20.0,0.0,30.5,0.0,0.0,0.0,4.0,1869.0
172,J63A,CI,2011-11-01,18.0,0.0,29.5,0.0,0.0,0.0,4.0,1869.0
173,J63A,CI,2011-11-01,21.2,0.0,29.5,0.0,0.0,0.0,4.0,1869.0
174,J63A,CI,2011-11-01,19.6,0.0,27.5,0.0,0.0,0.0,4.0,1869.0
175,J63A,CI,2011-11-01,18.4,0.370717984804,26.5,0.0,0.0,0.0,4.0,1869.0
176,J63A,CI,2011-11-01,19.6,0.0,25.5,0.0,0.0,0.0,4.0,1869.0
177,J63A,CI,2011-11-01,20.4,0.0,25.5,0.0,0.0,0.0,4.0,1869.0
178,J63A,CI,2011-11-01,18.4,0.359603036483,24.5,0.0,0.0,0.0,4.0,1869.0
179,J63A,CI,2011-11-01,18.4,0.358801721449,22.5,0.0,0.0,0.0,4.0,1869.0
180,J63A,CI,2011-11-01,18.4,0.36711232433,20.5,0.0,0.0,0.0,4.0,1869.0
181,J63A,CI,2011-11-01,19.2,0.0,18.5,0.0,0.0,0.0,4.0,1869.0
182,J63A,CI,2011-11-01,18.4,0.394243998952,17.5,,34.0,1.81915462814,4.0,1869.0
183,J63A,CI,2011-11-01,18.4,0.420820979297,15.5,0.0,0.0,0.0,4.0,1869.0
184,J63A,CI,2011-11-01,21.2,0.450290071639,15.5,,46.0,2.46120920278,4.0,1869.0
185,J63A,CI,2011-11-01,18.8,0.0,13.5,0.0,0.0,0.0,4.0,1869.0
186,J63A,CI,2011-11-01,20.0,0.0,11.5,0.0,0.0,0.0,4.0,1869.0
187,J63A,CI,2011-12-01,18.4,0.313187931527,31.5,0.0,0.0,0.0,83.0,29364.0
188,J63A,CI,2011-12-01,18.4,0.312306617081,28.5,0.0,0.0,0.0,83.0,29364.0
189,J63A,CI,2011-12-01,18.4,0.387057905318,17.5,,222.0,0.75602778913,83.0,29364.0
190,J63A,CI,2011-12-01,21.2,0.307522710002,14.5,,337.0,1.14766380602,83.0,29364.0
191,J63A,CI,2012-01-01,18.4,0.387378467952,39.5,0.0,0.0,0.0,47.0,8890.0
