,station,netvec,datevec,freq,ipi,peakcounts,propcounts
264,G30A,CI,2012-02-01,18.4,20.5,36.0,0.347155255545
265,G30A,CI,2012-02-01,18.4,18.5,47.0,0.453230472517
266,G30A,CI,2012-02-01,20.8,15.5,73.0,0.703953712633
267,G30A,CI,2012-03-01,18.4,39.5,55.0,0.738651625034
268,G30A,CI,2012-03-01,18.0,34.5,291.0,3.9081385979
269,G30A,CI,2012-03-01,18.4,19.5,34.0,0.456621004566
270,G30A,CI,2012-03-01,20.8,15.5,38.0,0.51034112275
271,G03A,CI,2011-11-01,18.8,33.5,172.0,1.81587837838
272,G03A,CI,2011-11-01,18.4,29.5,30.0,0.316722972973
273,G03A,CI,2011-11-01,18.4,18.5,152.0,1.60472972973
274,G03A,CI,2011-11-01,20.8,15.5,315.0,3.32559121622
275,G03A,CI,2011-11-01,21.2,12.5,30.0,0.316722972973
276,G03A,CI,2011-12-01,18.4,33.5,211.0,1.55961268386
277,G03A,CI,2011-12-01,18.4,18.5,219.0,1.61874491832
278,G03A,CI,2011-12-01,20.8,15.5,450.0,3.32618818834
279,G03A,CI,2012-01-01,18.4,33.5,274.0,1.16190314647
280,G03A,CI,2012-01-01,18.4,18.5,369.0,1.56475277754
281,G03A,CI,2012-01-01,20.8,15.5,802.0,3.40089899076
282,G03A,CI,2012-02-01,18.4,33.5,321.0,1.07624220479
283,G03A,CI,2012-02-01,18.4,18.5,403.0,1.35117012003
284,G03A,CI,2012-02-01,21.2,15.5,986.0,3.30584054181
285,G03A,CI,2012-03-01,18.4,33.5,74.0,0.951156812339
286,G03A,CI,2012-03-01,20.0,33.5,32.0,0.411311053985
287,G03A,CI,2012-03-01,21.2,33.5,35.0,0.449871465296
288,G03A,CI,2012-03-01,18.0,29.5,34.0,0.437017994859
289,G03A,CI,2012-03-01,18.4,27.5,28.0,0.359897172237
290,G03A,CI,2012-03-01,18.4,24.5,27.0,0.347043701799
291,G03A,CI,2012-03-01,18.4,18.5,144.0,1.85089974293
292,G03A,CI,2012-03-01,20.8,15.5,373.0,4.79434447301
293,KENE,KECK,2003-11-01,19.6,24.5,772.0,10.494834149
294,KENE,KECK,2003-12-01,18.4,30.5,24.0,0.361228175798
295,KENE,KECK,2003-12-01,19.6,30.5,28.0,0.421432871764
296,KENE,KECK,2003-12-01,18.8,28.5,17.0,0.255869957857
297,KENE,KECK,2003-12-01,20.0,24.5,388.0,5.83985550873
298,KENE,KECK,2004-01-01,18.0,30.5,14.0,0.279441117764
299,KENE,KECK,2004-01-01,19.2,30.5,21.0,0.419161676647
300,KENE,KECK,2004-01-01,20.0,30.5,16.0,0.319361277445
301,KENE,KECK,2004-01-01,22.0,30.5,16.0,0.319361277445
302,KENE,KECK,2004-01-01,19.6,24.5,297.0,5.92814371257
303,KENE,KECK,2004-01-01,23.2,22.5,19.0,0.379241516966
304,KENE,KECK,2004-01-01,21.2,20.5,13.0,0.259481037924
305,KENE,KECK,2004-02-01,18.8,30.5,46.0,0.791602133884
306,KENE,KECK,2004-02-01,21.6,26.5,22.0,0.378592324901
307,KENE,KECK,2004-02-01,19.6,25.5,234.0,4.02684563758
308,KENE,KECK,2004-02-01,22.8,20.5,15.0,0.258131130614
309,KENE,KECK,2004-02-01,22.0,17.5,22.0,0.378592324901
310,KENE,KECK,2004-03-01,21.6,39.5,16.0,1.20572720422
311,KENE,KECK,2004-03-01,22.4,37.5,7.0,0.527505651846
312,KENE,KECK,2004-03-01,21.6,36.5,8.0,0.60286360211
313,KENE,KECK,2004-03-01,19.6,35.5,3.0,0.226073850791
314,KENE,KECK,2004-03-01,22.8,35.5,4.0,0.301431801055
315,KENE,KECK,2004-03-01,20.8,34.5,8.0,0.60286360211
316,KENE,KECK,2004-03-01,21.6,33.5,11.0,0.828937452901
317,KENE,KECK,2004-03-01,20.8,32.5,6.0,0.452147701583
318,KENE,KECK,2004-03-01,19.2,31.5,3.0,0.226073850791
319,KENE,KECK,2004-03-01,20.0,31.5,6.0,0.452147701583
320,KENE,KECK,2004-03-01,21.6,31.5,10.0,0.753579502638
321,KENE,KECK,2004-03-01,20.8,30.5,9.0,0.678221552374
322,KENE,KECK,2004-03-01,22.4,30.5,10.0,0.753579502638
323,KENE,KECK,2004-03-01,20.0,26.5,28.0,2.11002260739
324,KENE,KECK,2004-03-01,21.2,26.5,15.0,1.13036925396
325,KENE,KECK,2004-03-01,22.0,26.5,10.0,0.753579502638
326,KENE,KECK,2004-03-01,21.2,24.5,12.0,0.904295403165
327,KENE,KECK,2004-03-01,20.0,23.5,9.0,0.678221552374
328,KENE,KECK,2004-03-01,21.6,20.5,25.0,1.88394875659
329,KENE,KECK,2004-03-01,22.4,20.5,14.0,1.05501130369
330,KENE,KECK,2004-03-01,21.2,18.5,6.0,0.452147701583
331,KENE,KECK,2004-03-01,22.4,17.5,9.0,0.678221552374
332,KENE,KECK,2004-03-01,21.6,16.5,7.0,0.527505651846
333,KENE,KECK,2004-03-01,22.0,15.5,7.0,0.527505651846
334,KENE,KECK,2004-03-01,22.4,13.5,3.0,0.226073850791
335,KENE,KECK,2004-03-01,22.0,12.5,3.0,0.226073850791
336,KENE,KECK,2004-03-01,22.8,11.5,3.0,0.226073850791
337,KENE,KECK,2004-03-01,21.6,10.5,4.0,0.301431801055
338,KENE,KECK,2004-11-01,18.4,31.5,9.0,0.254381006218
339,KENE,KECK,2004-11-01,19.6,24.5,381.0,10.7687959299
340,KENE,KECK,2004-11-01,24.0,20.5,9.0,0.254381006218
341,KENE,KECK,2004-12-01,18.8,31.5,12.0,0.708800945068
342,KENE,KECK,2004-12-01,19.2,30.5,12.0,0.708800945068
343,KENE,KECK,2004-12-01,18.4,29.5,9.0,0.531600708801
344,KENE,KECK,2004-12-01,20.0,25.5,141.0,8.32841110455
345,KENE,KECK,2004-12-01,22.8,24.5,4.0,0.236266981689
346,KENE,KECK,2005-01-01,19.6,31.5,15.0,0.421348314607
347,KENE,KECK,2005-01-01,18.4,30.5,13.0,0.365168539326
348,KENE,KECK,2005-01-01,19.6,25.5,362.0,10.1685393258
349,KENE,KECK,2005-02-01,18.4,32.5,37.0,1.67193854496
350,KENE,KECK,2005-02-01,19.6,31.5,22.0,0.994125621329
351,KENE,KECK,2005-02-01,19.6,26.5,156.0,7.04925440578
352,KENE,KECK,2005-02-01,22.8,23.5,5.0,0.225937641211
353,KENE,KECK,2005-02-01,19.6,21.5,10.0,0.451875282422
354,KENE,KECK,2005-03-01,21.6,39.5,7.0,0.363447559709
355,KENE,KECK,2005-03-01,22.8,39.5,7.0,0.363447559709
356,KENE,KECK,2005-03-01,21.6,37.5,9.0,0.467289719626
357,KENE,KECK,2005-03-01,23.6,37.5,4.0,0.207684319834
358,KENE,KECK,2005-03-01,22.8,36.5,10.0,0.519210799585
359,KENE,KECK,2005-03-01,18.4,34.5,31.0,1.60955347871
360,KENE,KECK,2005-03-01,21.2,34.5,9.0,0.467289719626
361,KENE,KECK,2005-03-01,22.0,34.5,8.0,0.415368639668
362,KENE,KECK,2005-03-01,22.4,32.5,7.0,0.363447559709
363,KENE,KECK,2005-03-01,23.6,31.5,5.0,0.259605399792
364,KENE,KECK,2005-03-01,22.0,30.5,13.0,0.67497403946
365,KENE,KECK,2005-03-01,22.8,30.5,10.0,0.519210799585
366,KENE,KECK,2005-03-01,18.8,29.5,101.0,5.2440290758
367,KENE,KECK,2005-03-01,21.2,29.5,5.0,0.259605399792
368,KENE,KECK,2005-03-01,21.6,27.5,7.0,0.363447559709
369,KENE,KECK,2005-03-01,22.0,25.5,12.0,0.623052959502
370,KENE,KECK,2005-03-01,23.2,25.5,6.0,0.311526479751
371,KENE,KECK,2005-03-01,21.6,23.5,8.0,0.415368639668
372,KENE,KECK,2005-03-01,22.4,22.5,11.0,0.571131879543
373,KENE,KECK,2005-03-01,22.8,20.5,10.0,0.519210799585
374,KENE,KECK,2005-03-01,21.6,19.5,7.0,0.363447559709
375,KENE,KECK,2005-03-01,22.4,19.5,10.0,0.519210799585
376,KENE,KECK,2005-03-01,22.4,16.5,9.0,0.467289719626
377,KENE,KECK,2005-03-01,21.6,15.5,8.0,0.415368639668
378,KENE,KECK,2005-03-01,21.6,13.5,8.0,0.415368639668
379,KENE,KECK,2005-03-01,23.2,13.5,5.0,0.259605399792
380,KENE,KECK,2005-03-01,22.8,12.5,5.0,0.259605399792
381,KENE,KECK,2005-03-01,23.2,10.5,4.0,0.207684319834
382,KENE,KECK,2005-11-01,22.0,39.5,24.0,0.373192349557
383,KENE,KECK,2005-11-01,22.0,35.5,25.0,0.388742030788
384,KENE,KECK,2005-11-01,22.0,32.5,38.0,0.590887886798
385,KENE,KECK,2005-11-01,21.6,28.5,54.0,0.839682786503
386,KENE,KECK,2005-11-01,19.6,24.5,154.0,2.39465090966
387,KENE,KECK,2005-11-01,21.2,24.5,61.0,0.948530555124
388,KENE,KECK,2005-11-01,21.6,19.5,60.0,0.932980873892
389,KENE,KECK,2005-11-01,22.4,17.5,43.0,0.668636292956
390,KENE,KECK,2005-11-01,22.0,12.5,32.0,0.497589799409
391,KENE,KECK,2005-11-01,22.0,10.5,37.0,0.575338205567
392,KENE,KECK,2005-12-01,22.0,36.5,34.0,0.38928326082
393,KENE,KECK,2005-12-01,19.6,34.5,22.0,0.251889168766
394,KENE,KECK,2005-12-01,22.0,30.5,71.0,0.812915044653
395,KENE,KECK,2005-12-01,21.6,27.5,59.0,0.675520952599
396,KENE,KECK,2005-12-01,19.6,25.5,329.0,3.76688802381
397,KENE,KECK,2005-12-01,21.6,25.5,62.0,0.709869475613
