,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq
118,AX,AX,2012-01-01,23.2,0.72186836518,31.5,2.29299363057,67.0,0.476156634212,86.0
119,AX,AX,2012-01-01,18.4,0.467091295117,27.5,2.25053078556,332.0,2.35946272475,86.0
120,AX,AX,2012-01-01,18.4,0.467091295117,17.5,1.65605095541,201.0,1.42846990264,86.0
121,AX,AX,2012-01-01,22.4,0.72186836518,14.5,1.01910828025,233.0,1.65588799659,86.0
122,AX,AX,2012-02-01,22.8,0.67940552017,33.5,2.12314225053,72.0,0.772035170491,77.0
123,AX,AX,2012-02-01,22.8,0.636942675159,31.5,2.46284501062,58.0,0.621917220673,77.0
124,AX,AX,2012-02-01,18.4,0.467091295117,28.5,2.46284501062,127.0,1.36178425906,77.0
125,AX,AX,2012-02-01,18.4,0.467091295117,24.5,4.88322717622,29.0,0.310958610337,77.0
126,AX,AX,2012-02-01,18.4,0.424628450106,19.5,1.91082802548,103.0,1.10443920223,77.0
127,AX,AX,2012-02-01,18.4,0.424628450106,17.5,2.03821656051,111.0,1.19022088784,77.0
128,AX,AX,2012-02-01,22.8,0.594479830149,14.5,1.23142250531,187.0,2.00514690114,77.0
129,AX,AX,2012-03-01,23.2,0.594479830149,37.5,2.76008492569,12.0,0.247167868177,57.0
130,AX,AX,2012-03-01,18.4,0.467091295117,33.5,3.52441613588,32.0,0.659114315139,57.0
131,AX,AX,2012-03-01,23.2,0.636942675159,33.5,1.65605095541,36.0,0.741503604531,57.0
132,AX,AX,2012-03-01,23.6,0.806794055202,30.5,4.28874734607,13.0,0.267765190525,57.0
133,AX,AX,2012-03-01,18.4,0.467091295117,29.5,2.76008492569,95.0,1.95674562307,57.0
134,AX,AX,2012-03-01,18.4,0.382165605096,18.5,1.78343949045,82.0,1.68898043254,57.0
135,AX,AX,2012-03-01,21.2,1.86836518047,15.5,0.934182590234,20.0,0.411946446962,57.0
136,AX,AX,2012-03-01,22.8,0.67940552017,15.5,0.934182590234,92.0,1.89495365602,57.0
137,AX,AX,2012-11-01,18.4,0.552016985138,33.5,2.59023354565,73.0,0.439759036145,81.0
138,AX,AX,2012-11-01,23.2,0.594479830149,33.5,1.95329087049,118.0,0.710843373494,81.0
139,AX,AX,2012-11-01,18.4,0.424628450106,18.5,1.48619957537,525.0,3.16265060241,81.0
140,AX,AX,2012-11-01,22.8,0.594479830149,15.5,0.849256900212,647.0,3.89759036145,81.0
141,AX,AX,2012-12-01,23.2,0.67940552017,34.5,2.03821656051,267.0,0.567384929236,110.0
142,AX,AX,2012-12-01,18.4,0.509554140127,18.5,1.52866242038,1089.0,2.3141654979,110.0
143,AX,AX,2012-12-01,22.8,0.72186836518,15.5,0.764331210191,1590.0,3.37880912916,110.0
144,AX,AX,2013-01-01,18.4,0.552016985138,33.5,2.76008492569,173.0,0.47003205999,138.0
145,AX,AX,2013-01-01,23.2,0.72186836518,33.5,1.65605095541,314.0,0.853121773624,138.0
146,AX,AX,2013-01-01,18.4,0.509554140127,18.5,1.48619957537,846.0,2.2985382818,138.0
147,AX,AX,2013-01-01,22.8,0.72186836518,15.5,0.849256900212,1057.0,2.87181437809,138.0
148,AX,AX,2013-02-01,18.4,0.552016985138,34.5,2.97239915074,86.0,0.46579645778,114.0
149,AX,AX,2013-02-01,22.8,0.636942675159,33.5,1.78343949045,206.0,1.11574500352,114.0
150,AX,AX,2013-02-01,18.4,0.424628450106,18.5,1.65605095541,402.0,2.17732762823,114.0
151,AX,AX,2013-02-01,22.8,0.594479830149,15.5,0.891719745223,545.0,2.95184964524,114.0
152,AX,AX,2013-03-01,18.4,0.594479830149,35.5,2.63269639066,24.0,0.472440944882,108.0
153,AX,AX,2013-03-01,20.0,1.86836518047,34.5,2.08067940552,18.0,0.354330708661,108.0
154,AX,AX,2013-03-01,22.8,0.67940552017,34.5,1.65605095541,57.0,1.12204724409,108.0
155,AX,AX,2013-03-01,18.4,0.594479830149,33.5,3.26963906582,27.0,0.531496062992,108.0
156,AX,AX,2013-03-01,21.2,1.78343949045,33.5,1.78343949045,19.0,0.374015748031,108.0
157,AX,AX,2013-03-01,18.8,0.594479830149,29.5,2.92993630573,28.0,0.551181102362,108.0
158,AX,AX,2013-03-01,18.4,0.509554140127,28.5,4.07643312102,28.0,0.551181102362,108.0
159,AX,AX,2013-03-01,18.4,0.467091295117,19.5,1.86836518047,70.0,1.37795275591,108.0
160,AX,AX,2013-03-01,20.8,1.91082802548,18.5,2.67515923567,15.0,0.295275590551,108.0
161,AX,AX,2013-03-01,20.0,1.86836518047,15.5,2.54777070064,17.0,0.334645669291,108.0
162,AX,AX,2013-03-01,22.8,0.72186836518,15.5,1.01910828025,109.0,2.14566929134,108.0
163,J63A,CI,2011-11-01,18.8,0.764331210191,39.5,2.67515923567,5.0,0.267522739433,4.0
164,J63A,CI,2011-11-01,18.0,0.67940552017,37.5,3.43949044586,6.0,0.321027287319,4.0
165,J63A,CI,2011-11-01,18.4,0.67940552017,33.5,2.54777070064,26.0,1.39111824505,4.0
166,J63A,CI,2011-11-01,19.2,0.934182590234,33.5,2.54777070064,18.0,0.963081861958,4.0
167,J63A,CI,2011-11-01,21.2,1.23142250531,33.5,2.97239915074,5.0,0.267522739433,4.0
168,J63A,CI,2011-11-01,20.0,1.74097664544,32.5,2.8025477707,9.0,0.481540930979,4.0
169,J63A,CI,2011-11-01,21.6,1.01910828025,31.5,3.05732484076,5.0,0.267522739433,4.0
